offer_id,identifier_id,item_quantity
1,4,1
2,4,1
3,4,1
4,4,1
5,9,1
6,9,1
7,9,1
8,9,1
9,14,1
10,14,1
11,14,1
12,14,1
13,23,1
14,23,1
15,23,1
16,23,1
17,28,1
18,28,1
19,28,1
20,28,1
21,53,1
22,53,1
23,56,1
24,56,1
25,59,1
26,59,1
27,62,1
28,62,1
29,65,1
30,65,1
31,68,1
32,68,1
33,104,1
34,104,1
35,104,1
36,108,1
37,108,1
38,108,1
39,117,1
40,117,1
41,120,1
42,120,1
43,146,1
44,146,1
45,146,1
46,150,1
47,150,1
48,150,1
49,150,1
50,170,1
51,170,1
52,174,1
53,174,1
54,174,1
55,179,1
56,179,1
57,179,1
58,268,1
59,268,1
60,268,1
61,268,1
62,268,1
63,268,1
64,276,1
65,276,1
66,285,1
67,288,1
68,290,1
69,305,1
70,318,1
71,320,1
72,320,1
73,320,1
74,331,1
75,331,1
76,337,1
77,337,1
78,337,1
79,337,1
80,337,1
81,337,1
82,337,1
83,337,1
84,337,1
85,347,1
86,347,1
87,347,1
88,351,1
89,351,1
90,351,1
91,351,1
92,351,1
93,358,1
94,358,1
95,358,1
96,358,1
97,358,1
98,364,1
99,366,1
100,366,1
101,366,1
102,364,1
103,364,1
104,364,1
105,374,1
106,374,1
107,377,1
108,377,1
109,377,1
110,387,1
111,387,1
112,387,1
113,387,1
114,392,1
115,392,1
116,396,1
117,396,1
118,401,1
119,401,1
120,405,1
121,419,1
122,419,1
123,428,1
124,428,1
125,428,1
126,428,1
127,428,1
128,428,1
129,435,1
130,435,1
131,435,1
132,439,1
133,439,1
134,439,1
135,443,1
136,443,1
137,443,1
138,443,1
139,443,1
140,443,1
141,450,1
142,450,1
143,450,1
144,454,1
145,454,1
146,454,1
147,454,1
148,459,1
149,459,1
150,459,1
151,463,1
152,463,1
153,463,1
154,463,1
155,468,1
156,468,1
157,468,1
158,468,1
159,473,1
160,473,1
161,473,1
162,473,1
163,481,1
164,481,1
165,481,1
166,481,1
167,481,1
168,481,1
169,488,1
170,488,1
171,488,1
172,488,1
173,488,1
174,488,1
175,496,1
176,496,1
177,496,1
178,501,1
179,501,1
180,501,1
181,505,1
182,505,1
183,505,1
184,505,1
185,510,1
186,510,1
187,510,1
188,510,1
189,515,1
190,515,1
191,515,1
192,515,1
193,520,1
194,520,1
195,520,1
196,520,1
197,527,1
198,527,1
199,532,1
200,532,1
201,535,1
202,535,1
203,535,1
204,540,1
205,540,1
206,540,1
207,540,1
208,540,1
209,540,1
210,548,1
211,548,1
212,553,1
213,553,1
214,553,1
215,553,1
216,558,1
217,558,1
218,558,1
219,558,1
220,563,1
221,563,1
222,563,1
223,563,1
224,569,1
225,569,1
226,569,1
227,569,1
228,574,1
229,574,1
230,574,1
231,574,1
232,574,1
233,582,1
234,582,1
235,582,1
236,582,1
237,587,1
238,587,1
239,587,1
240,587,1
241,594,1
242,594,1
243,599,1
244,599,1
245,599,1
246,599,1
247,604,1
248,604,1
249,604,1
250,604,1
251,609,1
252,613,1
253,613,1
254,613,1
255,618,1
256,618,1
257,618,1
258,624,1
259,624,1
260,624,1
261,624,1
262,629,1
263,629,1
264,629,1
265,634,1
266,634,1
267,634,1
268,638,1
269,640,1
270,640,1
271,640,1
272,640,1
273,640,1
274,640,1
275,661,1
276,661,1
277,661,1
278,661,1
279,673,1
280,673,1
281,673,1
282,673,1
283,679,1
284,679,1
285,679,1
286,679,1
287,709,1
288,709,1
289,709,1
290,709,1
291,714,1
292,714,1
293,717,1
294,717,1
295,728,1
296,728,1
297,776,1
298,776,1
299,776,1
300,785,1
301,785,1
302,785,1
303,785,1
304,790,1
305,790,1
306,790,1
307,790,1
308,796,1
309,796,1
310,809,1
311,809,1
312,809,1
313,813,1
314,813,1
315,823,1
316,823,1
